"Author (last, first)",Title,Year Published,Genre,Publisher,Location of Publisher,Location signed by author,Keywords,Derived From,Status and Links,
"Micheaux, Oscar",The Forged Note: A Romance of the Darker Races,1915,Fiction,Western Book Supply Company,"Lincoln, Nebraska",,,Gutenberg,,
"Micheaux, Oscar",The Homesteader,1917,Fiction,Western Book Supply Company,"Sioux City, Iowa",,,Gutenberg,,
"Nash, Theodore Edward Delafayette","Love & Vengeance, or Little Viola's Victory",1903,Fiction,,,,,History of Black Writing Corpus,,
"Ray, H. Cordelia",Poems,1910,Poetry,Grafton Press,New York,,,Digital Schomburg,"Remove page numbers and ""raster""",http://digilib.nypl.org/dynaweb/digs-p/wwm9719/@Generic__BookView
"Shackelford, Otis M.",Lillian Simmons,1915,Fiction,,,,,History of Black Writing Corpus,,
"Spencer, Mary Etta",The Resentment,1921,Fiction,,,,,LOC,Remove page numbers; Formatting,
"Steward, T.G.","A Charleston Love Story, Or Hortense Vanross",1899,Fiction,F. Tennyson Neely,New York,,,History of Black Writing Corpus,,https://web.archive.org/web/20110212010207/http://etext.lib.virginia.edu/etcbin/toccer-new2?id=SteHort.sgm&images=images/modeng&data=/texts/english/modeng/parsed&tag=public&part=all
"Thompson, Priscilla Jane",Ethiope Lays,1900,Poetry,Self-published,"Rossmoyne, Ohio","Rossmoyne, Ohio",,U-Michigan American Verse Project,"Remove ""Page x"" ",https://quod.lib.umich.edu/a/amverse/BAD5735.0001.001?rgn=main;view=fulltext
"Toomer, Jean",Cane,1923,"Fiction, Poetry",,,,,Gutenberg,,
"Tracy, Robert Archer",Sword of Nemesis,1919,Fiction,,,,"Obeah, Obi, Caribbean, Supernatural",History of Black Writing Corpus,,
"Walker, Thomas H. B.",J. Johnson; Or The Unknown Man: An Answer to Mr. Thom. Dixon's Sins of the Fathers,1915,Fiction,,,,Liberia,History of Black Writing Corpus,,
"Walker, Thomas H. B.","Revelation, Trial and Exile of John Epics",1912,Fiction,,,,,History of Black Writing Corpus,,
"Waring, Robert L.",As We See It,1910,Fiction,,,,,History of Black Writing Corpus,,
"Webb, Frank J.",The Garies and their Friends,1857,Fiction,,,,Preface by Harriet Beecher Stowe,Gutenberg,,
"White, Charles Frederick","Plea of the Negro Soldier, and a Hundred Other Poems",1908,Poetry,Enterprise Printing Company,"Easthampton, Massachusetts",,,U-Michigan American Verse Project,Remove Page Numbers,
"Wilson, Harriet","Our Nig, or, Sketeches from the Life of a Free Black",1859,Fiction,,,,,Gutenberg,,
"Young, James L.","Helen Duval, A French Romance",1891,Fiction,Bancroft Company,San Francisco,,,LOC,Formatting; proofreading,
